Bio ID,First,Middle,Last,District: Address,District: Phone,District: Fax,Initial 
A000022,Gary,L.,Ackerman,"218-14 Northern Boulevard Bayside, New York 11361",(718) 423-2154, (718) 423-5053 
F000339,Barney,,Frank,"558 Pleasant Street, #309 New Bedford, Massachusetts 02740", (508) 999-6462,(508) 999-6468 
F000457,	 Al,,Franken	 ,"60 East Plato Boulevard, Suite 220 St. Paul, Minnesota 55107",(651) 221-1016
F000457,	 Al,,Franken	 ,"208 South Minnesota Avenue, Suite 6 St. Peter, Minnesota 56082",(507) 931-5813
F000457,	 Al,,Franken	 ,"916 West St. Germain Street, Suite 110 St. Cloud, Minnesota 56301",(320) 251-2721
F000457,	 Al,,Franken	 ,"515 West 1st Street, Suite 104 Duluth, Minnesota 55802",(218) 722-2390
F000448,Trent,,Franks,"7121 West Bell Road, Suite 200 Glendale, Arizona 85308",(623) 776-7911,(623) 776-7832 
F000372,Rodney,P.,Frelinghuysen,"30 Schuyler Place, 2nd Floor Morristown, New Jersey 07960",(973) 984-0711,(973) 292-1569
F000455,Marcia,L.,Fudge,"4834 Richmond Road, Suite 150 Warrensville Heights, Ohio 44128",(216) 522-4900,(216) 522-4908 
G000021,Elton,,Gallegly,"2829 Townsgate Road, Suite 315 Thousand Oaks, California 91361-3018",(805) 497-2224,(805) 497-0039 
G000021,Elton,,Gallegly,"485 Alisal Road, Unit 144 Solvang, California 93463",(805) 686-2525,(805) 686-2566 
G000559,John,,Garamendi,"1981 North Broadway, Suite 220 Walnut Creek, California 94596",(925) 932-8899,(925) 932-8159 
G000559,John,,Garamendi,"420 West 3rd Street Antioch, California 94509",(925) 757-7187,(925) 757-7056 
G000559,John,,Garamendi,"609 Jefferson Street Fairfield, California 94533",(707) 438-1822,(707) 438-0523 ,ED
G000562,Cory,,Gardner,"123 North College Avenue, Suite 220 Ft. Collins, Colorado 80524",(970) 221-7110,(970) 221-7240 
G000548,Scott,,Garrett,"266 Harristown Rd, Suite 104 Glen Rock, New Jersey 07452",(201) 444-5454,(201) 444-5488 
G000548,Scott,,Garrett,"93 Main Street Newton, New Jersey 07860",(973) 300-2000,(973) 300-1051 
G000549,Jim,,Gerlach,"111 East Uwchlan Avenue Exton, Pennsylvania 19341",(610) 594-1415,(610) 594-1419 
G000549,Jim,,Gerlach,"840 North Park Road Wyomissing, Pennsylvania 19610",(610) 376-7630,(610) 376-7633 
G000549,Jim,,Gerlach,"580 Main Street, Suite 4 Trappe, Pennsylvania 19426",(610) 409-2780,(610) 409-7988 
G000563,Bob,,Gibbs,"1166 Military Road, Suite B Zanesville, Ohio 43701",(740) 452-2279,(740) 452-2557 
G000564,Christopher,P.,Gibson,"136 Glen Street Glens Falls, New York 12801",(518) 743-0964,(518) 743-1391 
G000564,Christopher,P.,Gibson,"2 Hudson Street Kinderhook, New York 12106",(518) 610-8133
G000564,Christopher,P.,Gibson,"513 Broadway Saratoga Springs, New York 12866",(518) 306-5450,(518) 306-5446 
G000554,Gabrielle,,Giffords,"3945 East Fort Lowell Road, Suite 211 Tucson, Arizona 85712",(520) 881-3588,(520) 322-9490 
G000554,Gabrielle,,Giffords,"77 Calle Portal, Suite B-160 Sierra Vista, Arizona 85635",(520) 459-3115,(520) 459-5419 
G000555,	 Kirsten,,Gillibrand	 ,"780 Third Avenue, Suite 2601 New York, New York 10017",(212) 688-6262,(212) 688-7444 
G000555,	 Kirsten,,Gillibrand	 ,"1 Clinton Square, Room 821 Albany, New York 12207",(518) 431-0120,(518) 431-0128 
G000555,	 Kirsten,,Gillibrand	 ,"726 Exchange Street, Suite 511 Buffalo, New York 14210",(716) 854-9725,(716) 854-9731 
G000555,	 Kirsten,,Gillibrand	 ,"100 State Street, Room 4195 Rochester, New York 14614",(585) 263-6250,(585) 263-6247 
G000555,	 Kirsten,,Gillibrand	 ,"100 South Clinton Street, Room 1470 Syracuse, New York 13261",(315) 448-0470,(315) 448-0476 
G000555,	 Kirsten,,Gillibrand	 ,"155 Pinelawn Road, Suite 250 North Melville, New York 11747",(631) 249-2825,(631) 249-2847 
G000555,	 Kirsten,,Gillibrand	 ,"PO Box 273 Lowville, New York 13367",(315) 376-6118,(315) 376-6118 
G000550,Phil,,Gingrey,"219 Roswell Street Marietta, Georgia 30060",(770) 429-1776,(770) 795-9551 
G000550,Phil,,Gingrey,"600 East 1st Street, Suite 301 Rome, Georgia 30161", (706) 290-1776,(706) 232-7864 
G000552,Louie,,Gohmert,"1121 ESE Loop 323, #206 Tyler, Texas 75701",(903) 561-6349,(903) 561-7110 
G000552,Louie,,Gohmert,"101 East Methvin, Suite 302 Longview, Texas 75601",(903) 236-8597,(903) 553-1972 
G000552,Louie,,Gohmert,"300 East Shepherd, Suite 210 Lufkin, Texas 75901",(936) 632-3180,(903) 561-7110 
G000552,Louie,,Gohmert,"102 West Houston Street Marshall, Texas 75670",(903) 938-8386, (903) 561-7110 
G000552,Louie,,Gohmert,"101 West Main, Suite 160 Nacogdoches, Texas 75961",(936) 715-9514,(903) 561-7110 
G000544,Charles,A.,Gonzalez,"727 East Durango Boulevard, Suite B-124 San Antonio, Texas 78206",(210) 472-6195,(210) 472-4009 
G000289,Bob,,Goodlatte,"10 Franklin Road, SE, #540 Roanoke, Virginia 24011",(540) 857-2672,(540) 857-2675 
G000289,Bob,,Goodlatte,"7 Court Square Staunton, Virginia 24401",(540) 885-3861,(540) 885-3930 
G000289,Bob,,Goodlatte,"2 South Main Street, Suite A, 1st Floor Harrisonburg, Virginia 22801",(540) 432-2391,(540) 432-6593 
G000289,Bob,,Goodlatte,"916 Main Street, #300 Lynchburg, Virginia 24504",(434) 845-8306,(434) 845-8245 
G000565,Paul,A.,Gosar,"211 North Florence Street, Suite 3 Casa Grande, Arizona 85122",(520) 836-5289,(520) 836-8417 
G000565,Paul,A.,Gosar,"1515 East Cedar Avenue, #A6 Flagstaff, Arizona 86004",(928) 214-6055,(928) 214-6124 
G000565,Paul,A.,Gosar,"240 South Montezuma Street, #101 Prescott, Arizona 86303",(928) 445-1683,(928) 445-3414 
G000566,Trey,,Gowdy,"104 South Main Street, Suite 803 Greenville, South Carolina 29601",(864) 241-0175,(864) 241-0982 
G000352,	 Lindsey,,Graham	 ,"130 South Main Street, 7th Floor Greenville, South Carolina 29601",(864) 250-1417, (864) 250-4322 
G000352,	 Lindsey,,Graham	 ,"530 Johnnie Dodds Boulevard, Suite 202 Mt. Pleasant, South Carolina 29464",(843) 849-3887,(843) 849-3887 
G000352,	 Lindsey,,Graham	 ,"508 Hampton Street, Suite 202 Columbia, South Carolina 29201",(803) 933-0112,(803) 933-0957 
G000352,	 Lindsey,,Graham	 ,"401 West Evans Street, Suite 226B Florence, South Carolina 29501",(843) 669-1505,(843) 669-9015 
G000352,	 Lindsey,,Graham	 ,"235 East Main Street, Suite 100 Rock Hill, South Carolina 29730",(803) 366-2828,(803) 366-5353 
G000352,	 Lindsey,,Graham	 ,"124 Exchange Street, Suite A Pendleton, South Carolina 29678",(864) 646-4090
G000377,Kay,,Granger,"1701 River Run Road, Suite 407 Ft. Worth, Texas 76107",(817) 338-0909,(817) 335-5852 
G000386,	 Chuck,,Grassley	 ,"210 Walnut Street, Room 721 Des Moines, Iowa 50309",(515) 288-1145,(515) 288-5097 
G000386,	 Chuck,,Grassley	 ,"131 West 3rd Street, Suite 180 Davenport, Iowa 52801",(563) 322-4331,(563) 322-8552 
G000386,	 Chuck,,Grassley	 ,"150 1st Avenue NE, Suite 325 Cedar Rapids, Iowa 52401",(319) 363-6832,(319) 363-7179 
G000386,	 Chuck,,Grassley	 ,"320 6th Street, 120 Federal Building Sioux City, Iowa 51101",(712) 233-1860,(712) 233-1634 
G000386,	 Chuck,,Grassley	 ,"8 South 6th Street, 307 Federal Building Council Bluffs, Iowa 51501",(712) 322-7103,(712) 322-7196 
G000386,	 Chuck,,Grassley	 ,"531 Commercial Street, 210 Waterloo Building Waterloo, Iowa 50701",(319) 232-6657,(319) 232-9965 
G000546,Sam,,Graves,"113 Blue Jay Drive, Suite 100 Liberty, Missouri 64068",(816) 792-3976,(816) 792-0694 
G000546,Sam,,Graves,"201 South 8th Street, Room 330 St. Joseph, Missouri 64501",(816) 233-9818,(816) 233-9848
G000560,Tom,,Graves,"500 Jesse Jewell Parkway, Suite 301 Gainesville, Georgia 30503",(770) 535-2592,(770) 535-2765 
G000560,Tom,,Graves,"702 South Thornton Avenue Dalton, Georgia 30720",(706) 226-5320,(706) 278-0840
G000553,Al,,Green,"3003 South Loop West, Suite 460 Houston, Texas 77054",(713) 383-9234,(713) 383-9202 
G000410,Gene,,Green,"256 North Sam Houston Parkway East, #29 Houston, Texas 77060",(281) 999-5879,(281) 999-5716 
G000410,Gene,,Green,"11811 I-10 East, #430 Houston, Texas 77029",(713) 330-0761,(713) 330-0807 
G000410,Gene,,Green,"909 Decker Drive, Suite 124 Baytown, Texas 77520",(281) 420-0502,(281) 420-0585 
G000567,Tim,,Griffin,"1501 North University, Suite 150 Little Rock, Arkansas 72207",(501) 324-5941,(501) 324-6029 
G000568,H.,Morgan,Griffith,"323 West Main Street Abingdon, Virginia 24210",(276) 525-1405,(276) 525-1444 
G000568,H.,Morgan,Griffith,"17 West Main Street Christiansburg, Virginia 24073",(540) 381-5671,(540) 381-5675 
G000551,Raúl,M.,Grijalva,"738 North 5th Avenue, Suite 110 Tucson, Arizona 85705",(520) 622-6788,(520) 622-0198 
G000551,Raúl,M.,Grijalva,"201 Bingham Avenue, Suite 2 Somerton, Arizona 85350",(928) 343-7933,(928) 343-7949 
G000569,Michael,G.,Grimm,"265 New Dorp Lane, 2nd Floor Staten Island, New York 10306",(718) 351-1062,(718) 980-0768 
G000570,Frank,C.,Guinta,"33 Lowell Street Manchester, New Hampshire 03101",(603) 641-9536,(603) 641-9561 
G000558,Brett,,Guthrie,"1001 Center Street, Suite 300 Bowling Green, Kentucky 42101",(270) 842-9896,(270) 842-9081 
G000535,Luis,V.,Gutierrez,"2201 W. North Avenue Chicago, Illinois 60647",(773) 342-0774,(773) 342-0776 
H001049,	 Kay ,R,Hagan	 ,"701 Green Valley Road, Suite 201 Greensboro, North Carolina 27408",(336) 333-5311,(336) 333-5331 
H001049,	 Kay ,R,Hagan	 ,"310 New Bern Avenue, Suite 122 Raleigh, North Carolina 27601",(919) 856-4630,(919) 856-4053 
H001049,	 Kay ,R,Hagan	 ,"1520 South Boulevard, Suite 205 Charlotte, North Carolina 28203",(704) 334-2448,(704) 334-2405 
H001049,	 Kay ,R,Hagan	 ,"82 Patterson Avenue, Suite 635 Asheville, North Carolina 28801",(828) 257-6510,(828) 257-6514 
H001049,	 Kay ,R,Hagan	 ,"301 South Evans Street, Suite 102 Greenville, North Carolina 27858",(252) 754-0707,(252) 754-0766 
H001063,Janice,,Hahn,"2321 East Rosecrans Avenue, Suite 3270 El Segundo, California 90245",(310) 643-3636,(310) 643-6445 
H001063,Janice,,Hahn,"544 North Avalon Boulevard, Suite 307 Wilmington, California 90744",(310) 549-8282,(310) 549-8250 
H000067,Ralph,M.,Hall,"104 North San Jacinto Street Rockwall, Texas 75087",(972) 771-9118,(972) 722-0907 
H000067,Ralph,M.,Hall,"101 East Pecan Street Sherman, Texas 75090",(903) 892-1112,(903) 868-0264 
H000067,Ralph,M.,Hall,"710 James Bowie Drive New Boston, Texas 75570-2328",(903) 628-8309,(903) 628-8320 
H000067,Ralph,M.,Hall,"320 Church Street, Suite 132 Sulphur Springs, Texas 75482-2606",(903) 885-8138,(903) 439-0874
H000067,Ralph,M.,Hall,"1800 North Graves Street, Suite 101 McKinney, Texas 75069-3322",(214) 726-9949, (214) 726-9363 
H000067,Ralph,M.,Hall,"4303 Texas Boulevard, Suite 2 Texarkana, Texas 75503-3094",(903) 794-4445,(903) 794-5577
H001050,Colleen,W.,Hanabusa,"300 Ala Moana Boulevard, Room 4-104 Honolulu, Hawaii 96850",(808) 541-2570,(808) 533-0133 
H001051,Richard,L.,Hanna,"110 Genesee Street, Suite 110 Auburn, New York 13021",(315) 793-8146,(315) 798-4099 
H000206,	 Tom,,Harkin	 ,"210 Walnut Street, Room 733 Des Moines, Iowa 50309",(515) 284-4574,(515) 284-4937 
H000206,	 Tom,,Harkin	 ,"150 1st Avenue, NE, Suite 370 Cedar Rapids, Iowa 52401",(319) 365-4504,(319) 365-4683 
H000206,	 Tom,,Harkin	 ,"1606 Brady Street, Suite 323 Davenport, Iowa 52803",(563) 322-1338,(563) 322-0417 
H000206,	 Tom,,Harkin	 ,"350 West 6th Street, #315 Dubuque, Iowa 52001",(563) 582-2130,(563) 582-2342 
H000206,	 Tom,,Harkin	 ,"320 6th Street, 110 Federal Building Sioux City, Iowa 51101",(712) 252-1550,(712) 252-7104 
H001045,Gregg,,Harper,"2507-A Old Brandon Road Pearl, Mississippi 39208",(601) 932-2410,(601) 932-4647 
H001045,Gregg,,Harper,"823 22nd Avenue Meridian, Mississippi 39301", (601) 693-6681, (601) 693-1801 
H001045,Gregg,,Harper,"1 Research Boulevard, Suite 206 Starkville, Mississippi 39759",(662) 324-0007,(662) 324-0033 
H001045,Gregg,,Harper,"230 South Whitworth Street Brookhaven, Mississippi 39601",(601) 823-3400,(601) 823-5512
H001052,Andy,,Harris,"100 Olde Point Village, Suite 101 Chester, Maryland 21619",(410) 643-5425,(410) 643-5429 
H001052,Andy,,Harris,"15 East Churchville Road, Suite 102B Bel Air, Maryland 21014",(410) 588-5670,(410) 588-5673 
H001052,Andy,,Harris,"212 West Main Street Suite, 204B Salisbury, Maryland 21801",(443) 944-8624,(443) 944-8625 
H001053,Vicky,,Hartzler,"1909 North Commercial Street Harrisonville, Missouri 64701",(816) 884-3411
H001053,Vicky,,Hartzler,"2409 Hyde Park Jefferson City, Missouri 65109",(573) 634-4884,(573) 634-4177
H001053,Vicky,,Hartzler,"219 North Adams Street Lebanon, Missouri 65536",(417) 532-5582,(417) 532-3886 
H001053,Vicky,,Hartzler,"415 South Ohio, Suite 212B Sedalia, Missouri 65301",(573) 634-4884
H000324,Alcee,L.,Hastings,"2701 West Oakland Park Boulevard, #200 Ft. Lauderdale, Florida 33311",(954) 733-2800,(954) 735-9444 
H000324,Alcee,L.,Hastings,"100 NW 1st Avenue Delray Beach, Florida 33444", (561) 243-7042,(561) 243-7327 
H000329,Doc,,Hastings,"2715 St. Andrew's Loop, Suite D Pasco, Washington 99301-3386",(509) 543-9396,(509) 545-1972 
H000329,Doc,,Hastings,"402 E. Yakima Avenue, Suite 760 Yakima, Washington 98901",(509) 452-3243,(509) 452-3438 
H000338,	 Orrin ,G,Hatch	 ,"8402 Federal Building, 125 South State Street Salt Lake City, Utah 84138",(801) 524-4380,(801) 524-4379 
H000338,	 Orrin ,G,Hatch	 ,"1006 Federal Building, 324 25th Street Ogden, Utah 84401",(801) 625-5672, (801) 394-4503 
H000338,	 Orrin ,G,Hatch	 ,"51 South University Avenue, #320 Provo, Utah 84606",(801) 375-7881,(801) 374-5005 
H000338,	 Orrin ,G,Hatch	 ,"77 North Main Street, Suite 112 Cedar City, Utah 84720",(435) 586-8435,(435) 586-2147 
H000338,	 Orrin ,G,Hatch	 ,"197 East Tabernacle, #2 St. George, Utah 84770",(435) 634-1795,(435) 634-1796 
H001054,Nan,A. S.,Hayworth,"255 Main Street, Suite 3232G Goshen, New York 10924",(845) 291-4100,(845) 291-4164 
H001055,Joseph,J.,Heck,"8485 West Sunset Road, Suite 300 Las Vegas, Nevada 89113",(702) 387-4941,(702) 837-0728 
H001046,Martin,,Heinrich,"20 First Plaza NW, Suite 603 Albuquerque, New Mexico 87102",(505) 346-6781,(505) 346-6723 
H001046,Martin,,Heinrich,"3211 Coors Boulevard SW, Suite B3 Albuquerque, New Mexico 87121",(505) 877-4069
H001036,Jeb,,Hensarling,"6510 Abrams Road, Suite 243 Dallas, Texas 75231",(214) 349-9996,(214) 349-0738 ,ED
H001036,Jeb,,Hensarling,"810 East Corsicana Street, Suite C Athens, Texas 75751",(903) 675-8288,(903) 675-8351 ,ED
H000528,Wally,,Herger,"2635 Forest Avenue, Suite 100 Chico, California 95928",(530) 893-8363,(530) 893-8619 
H000528,Wally,,Herger,"280 Hemsted Drive, Suite 105 Redding, California 96002",(530) 223-5898,(530) 223-5897 
H001056,Jaime,,Herrera Beutler,"750 Anderson Street, Suite B Vancouver, Washington 98661",(360) 695-6292,(360) 695-6197 
H001038,Brian,,Higgins,"726 Exchange Street, Suite 601 Buffalo, New York 14210",(716) 852-3501,(716) 852-3929 
H001038,Brian,,Higgins,"2 East 2nd Street, Suite 300 Jamestown, New York 14701",(716) 484-0729,(716) 484-1049 
H001047,James,A.,Himes,"211 State Street, 2nd Floor Bridgeport, Connecticut 06604",(866) 453-0028,(203) 333-6655 
H001047,James,A.,Himes,"888 Washington Boulevard, 10th Floor Stamford, Connecticut 06901",(866) 453-0028,(203) 333-6655 
H000627,Maurice,D.,Hinchey,"291 Wall Street Kingston, New York 12401",(845) 331-4466,(845) 331-7456 
H000627,Maurice,D.,Hinchey,"100 A Federal Building Binghamton, New York 13901",(607) 773-2768,(607) 773-3176 
H000627,Maurice,D.,Hinchey,"123 South Cayuga Street, Suite 201 Ithaca, New York 14850",(607) 273-1388,(607) 273-8847 
H000627,Maurice,D.,Hinchey,"18 Anawana Lake Road Monticello, New York 12701",(845) 791-7116
H000627,Maurice,D.,Hinchey,"16 James Street, 3rd Floor Middletown, New York 10940",(845) 344-3211,(845) 342-2070 
H000636,Rubén,,Hinojosa,"2864 West Trenton Road Edinburg, Texas 78539",(956) 682-5545, (956) 682-0141 
H000636,Rubén,,Hinojosa,"107 South Street Mary's Street Beeville, Texas 78102",(361) 358-8400,(361) 358-8407 
H001042,Mazie,K.,Hirono,"300 Ala Moana Boulevard, Room 5-104 Honolulu, Hawaii 96850",(808) 541-1986,(808) 538-0233 
H001062,Kathleen,C.,Hochul,"325 Essjay Road, Suite 405 Williamsville, New York 14221",(716) 634-2324,(716) 631-7610 
H001062,Kathleen,C.,Hochul,"2300 West Ridge Road, Suite 400 Greece, New York 14626",(585) 270-4828,(585) 270-8014 
H001061,	 John,,Hoeven	 ,"220 East Rosser Avenue, 312 Federal Building Bismarck, North Dakota 58501",(701) 250-4618,(701) 250-4484 
H001061,	 John,,Hoeven	 ,"1802 32nd Avenue S, Suite B Fargo, North Dakota 58103",(701) 239-5389,(701) 239-5112 
H001061,	 John,,Hoeven	 ,"102 North Fourth Street, Room 108 Grand Forks, North Dakota 58203",(701) 746-8972
H000712,Tim,,Holden,"1511 North Front Street, 1st Floor Harrisburg, Pennsylvania 17102",(717) 234-5904,(717) 234-5918 
H000712,Tim,,Holden,"101 North Centre Street, #303 Pottsville, Pennsylvania 17901",(570) 622-4212,(570) 628-2561 
H000712,Tim,,Holden,"4918 Kutztown Road Temple, Pennsylvania 19560-1554",(610) 921-3502,(610) 921-3504 
H000712,Tim,,Holden,"758 Cumberland Street Lebanon, Pennsylvania 17042",(717) 270-1395,(717) 270-1095 
H001032,Rush,D.,Holt,"50 Washington Road West Windsor, New Jersey 08550",(609) 750-9365,(609) 750-0618 
H001034,Michael,M.,Honda,"1999 South Bascom Avenue, Suite 815 Campbell, California 95008",(408) 558-8085,(408) 558-8086 
H000874,Steny,H.,Hoyer,"6500 Cherrywood Lane, #310 Greenbelt, Maryland 20770",(301) 474-0119,(301) 474-4697 
H000874,Steny,H.,Hoyer,"401 Post Office Road, Suite 202 Waldorf, Maryland 20602",(301) 843-1577,(301) 843-1331 
H001057,Tim,,Huelskamp,"119 West Iron, Suite 603 Salina, Kansas 67401",(785) 309-0572,(785) 827-6957 
H001058,Bill,,Huizenga,"210 North Mitchell Street Cadillac, Michigan 49601",(231) 775-0050,(231) 775-0298 
H001059,Randy,,Hultgren,"1797 State Street, Suite A Geneva, Illinois 60134",(630) 232-7104,(630) 232-7174 
H001048,Duncan,,Hunter,"1870 Cordell Court, Suite 206 El Cajon, California 92020",(619) 448-5201,(619) 449-2251 
H001060,Robert,,Hurt,"686 Berkmar Circle Charlottesville, Virginia 22901",(434) 791-2596,(434) 973-9635 
H001060,Robert,,Hurt,"308 Craghead Street, Suite 102-D Danville, Virginia 24541",(434) 791-2596,(434) 791-4619 
H001016,Kay Bailey,,Hutchison	 ,"10440 North Central Expressway, #1160 Dallas, Texas 75231",(214) 361-3500,(214) 361-3502 
H001016,Kay Bailey,,Hutchison	 ,"1919 Smith Street, #800 Houston, Texas 77002",(713) 653-3456,(713) 209-3459 
H001016,Kay Bailey,,Hutchison	 ,"3133 General Hudnell Drive, Suite 120 San",(210) 340-2885,(210) 349-6753 
H001016,Kay Bailey,,Hutchison	 ,"300 East 8th Street, 961 Federal Building Austin, Texas 78701",(512) 916-5834,(512) 916-5839 
H001016,Kay Bailey,,Hutchison	 ,"500 Chestnut Street, Room 1570 Abilene, Texas 79602",(325) 676-2839, (325) 676-2937 
H001016,Kay Bailey,,Hutchison	 ,"1906 G East Tyler Street Harlingen, Texas 78550",(956) 425-2253,(956) 412-1468 
I000024,	 James ,,Inhofe	 ,"1924 South Utica Avenue, Suite 530 Tulsa, Oklahoma 74104",(918) 748-5111,(918) 748-5119 
I000024,	 James ,,Inhofe	 ,"1900 NW Expressway, Suite 1210 Oklahoma City, Oklahoma 73118",(405) 608-4381,(405) 608-4120 ,ED
I000024,	 James ,,Inhofe	 ,"215 East Choctaw, Suite 106 McAlester, Oklahoma 74501",(918) 426-0933,(918) 426-0935 
I000024,	 James ,,Inhofe	 ,"302 North Independence, Suite 104 Enid, Oklahoma 73701",(580) 234-5105,(580) 234-5094 
I000025,	 Daniel ,K,Inouye	 ,"300 Ala Moana Boulevard, #7-212 Honolulu, Hawaii 96850",(808) 541-2542,(808) 541-2549 
I000025,	 Daniel ,K,Inouye	 ,"101 Aupuni Street, #205 Hilo, Hawaii 96720",(808) 935-0844,(808) 961-5163 
I000026,Jay,,Inslee,"18560 First Avenue NE, Suite E800 Shoreline, Washington 98155-2150",(206) 361-0233,(206) 361-3959 
I000026,Jay,,Inslee,"17791 Fjord Drive, NE, Door 112 Poulsbo, Washington 98370-8481", (360) 598-2342,(360) 598-3650 
I000055,	 Johnny,,Isakson	 ,"3625 Cumberland Boulevard, Suite 970 Atlanta, Georgia 30339",(770) 661-0999,(770) 661-0768 
I000057,Steve,,Israel,"150 Motor Parkway, Suite 108 Hauppauge, New York 11788", (631) 951-2210, (631) 951-3308 
I000056,Darrell,E.,Issa,"1800 Thibodo Road, #310 Vista, California 92081",(760) 599-5000,(760) 599-1178 
J000283,Jesse,L.,Jackson,"17926 South Halsted Homewood, Illinois 60430",(708) 798-6000,(708) 798-6160 
J000283,Jesse,L.,Jackson,"7121 South Yates Boulevard Chicago, Illinois 60649",(773) 734-9660,(773) 734-9661 
J000032,Sheila,,Jackson Lee,"1919 Smith Street, #1180 Houston, Texas 77002",(713) 655-0050,(713) 655-1612 
J000032,Sheila,,Jackson Lee,"420 West 19th Street Houston, Texas 77008", (713) 861-4070
J000032,Sheila,,Jackson Lee,"6719 West Montgomery Road, #204 Houston, Texas 77091",(713) 691-4882
J000032,Sheila,,Jackson Lee,"4300 Lyons Avenue Houston, Texas 77020",(713) 227-7740,(713) 227-7707 
J000290,Lynn,,Jenkins,"3550 SW 5th Street Topeka, Kansas 66606", (785) 234-5966,(785) 234-5967 
J000290,Lynn,,Jenkins,"1001 North Broadway Street, Suite C Pittsburg, Kansas 66762",(620) 231-5966,(620) 231-5972 
J000291,	 Mike,,Johanns	 ,"115 Railway Street, Suite C102 Scottsbluff, Nebraska 69361",(308) 632-6032,(308) 632-6295 
J000291,	 Mike,,Johanns	 ,"4111 Fourth Avenue, Suite 26 Kearney, Nebraska 68845",(308) 236-7602,(308) 236-7473 
J000291,	 Mike,,Johanns	 ,"287 Federal Building, 100 Centennial Mall North Lincoln, Nebraska 68508",(402) 476-1400,(402) 476-0605 
J000291,	 Mike,,Johanns	 ,"9900 Nicholas Street, Suite 325 Omaha, Nebraska 68114",(402) 758-8981,(402) 758-9165 
J000292,Bill,,Johnson,"258 Front Street Marietta, Ohio 45750",(740) 376-0868,(740) 376-0886
J000126,Eddie,Bernice,Johnson,"3102 Maple Avenue, #600 Dallas, Texas 75201",(214) 922-8885,(214) 922-7028 
J000288,Henry,C.  “Hank”,Johnson,"5700 Hillandale Drive, Suite 110 Lithonia, Georgia 30058",(770) 987-2291,(770) 987-8721 ,ED
J000174,Sam,,Johnson,"2929 North Central Expressway, Suite 240 Richardson, Texas 75080",(972) 470-0892,(972) 470-9937 
J000285,Timothy,V.,Johnson,"202 North Prospect Road, Suite 203 Bloomington, Illinois 61704",(309) 663-7049,(309) 663-9880
J000293,	 Ron,,Johnson	 ,"517 East Wisconsin Avenue Milwaukee, Wisconsin 53202",(414) 276-7282
J000293,	 Ron,,Johnson	 ,"219 Washington Avenue Oshkosh, Wisconsin 54901",(920) 230-7250
J000177,	 Tim,,Johnson	 ,"5015 South Bur Oak Place Sioux Falls, South Dakota 57108", (605) 332-8896,(605) 332-2824 
J000177,	 Tim,,Johnson	 ,"320 South First Street, #103 Aberdeen, South Dakota 57401",(605) 226-3440,(605) 226-2439 
J000177,	 Tim,,Johnson	 ,"405 East Omaha Street, Suite B Rapid City, South Dakota 57701",(605) 341-3990,(605) 341-2207 
J000255,Walter,B.,Jones,"1105-C Corporate Drive Greenville, North Carolina 27858",(252) 931-1003,(252) 931-1002 
J000289,Jim,,Jordan,"24 West Third Street, Room 314 Mansfield, Ohio 44902",(419) 522-5757,(419) 525-2805 
J000289,Jim,,Jordan,"3121 West Elm Plaza Lima, Ohio 45805",(419) 999-6455,(419) 999-4238 
J000289,Jim,,Jordan,"100 East Main Cross, Suite 101 Findlay, Ohio 45840",(419) 423-3210,(419) 423-3233 
K000009,Marcy,,Kaptur,"One Maritime Plaza, 6th Floor Toledo, Ohio 43604",(419) 259-7500,(419) 255-9623 
K000375,William,R.,Keating,"297 North Street, Suite 312 Hyannis, Massachusetts 02601",(508) 771-0666,(508) 790-1959 
K000375,William,R.,Keating,"1250 Hancock Street, Suite 802-N Quincy, Massachusetts 02169", (617) 770-3700,(617) 770-2984 
K000376,Mike,,Kelly,"108 East Diamond Street, 1st Floor Butler, Pennsylvania 16001",(724) 282-2557,(724) 282-3682 
K000376,Mike,,Kelly,"208 East Bayfront Parkway, Suite 102 Erie, Pennsylvania 16507",(814) 454-8190,(814) 454-8197 
K000376,Mike,,Kelly,"182 Main Street Greenville, Pennsylvania 16125", (724) 885-1113,(724) 885-1114 
K000148,	 John,F,Kerry	 ,"One Bowdoin Square, 10th Floor Boston, Massachusetts 02114",(617) 565-8519,(617) 248-3870 
K000148,	 John,F,Kerry	 ,"1550 Main Street, Suite 340 Springfield, Massachusetts 01103-1427",(413) 785-4610,(413) 736-1049 
K000148,	 John,F,Kerry	 ,"222 Milliken Place, Suite 312 Fall River, Massachusetts 02721",(508) 677-0522,(508) 677-0275 
K000172,Dale,E.,Kildee,"432 North Saginaw, #410 Flint, Michigan 48502",(810) 239-1437,(810) 239-1439 
K000172,Dale,E.,Kildee,"515 North Washington Street, Suite 401 Saginaw, Michigan 48607",(989) 755-8904,(989) 755-8908 
K000172,Dale,E.,Kildee,"916 Washington Avenue, Suite 205 Bay City, Michigan 48708",(989) 891-0990,(989) 891-0994 
K000188,Ron,,Kind,"205 5th Avenue South, Suite 400 LaCrosse, Wisconsin 54601",(608) 782-2558,(608) 782-4588 
K000188,Ron,,Kind,"131 South Barstow Street, Suite 301 Eau Claire, Wisconsin 54701",(715) 831-9214,(715) 831-9272 
K000210,Peter,T.,King,"1003 Park Boulevard Massapequa Park, New York 11762",(516) 541-4225,(516) 541-6602 
K000362,Steve,,King,"40 Pearl Street Council Bluffs, Iowa 51503",(712) 325-1404,(712) 325-1405 
